nt_code,microbe_label,species_label,species_name,species,strain,genus,family,phylum,enzyme_id,enzyme_name,enzyme_family,reaction_class,bond_target,starter_presence_call,starter_presence_weight,starter_evidence_scope,starter_evidence_source,starter_evidence_note,curated_presence_call,curated_presence_weight,curated_evidence_scope,curated_evidence_source,curated_source_database,curated_literature_citation,curated_pmid,curated_doi,curated_genome_accession,curated_strain_match_level,curated_evidence_note,curated_curation_status,review_priority
NT1,Bacteroides uniformis,Bacteroides uniformis,,,,Bacteroides,,,ENZ001,beta_glucuronidase,glycosidase,deconjugation,glucuronide glycosidic C-O bond,likely_present,0.8,genus_prior_seed,project_starter_prior,Starter prior seeded from genus-level gut microbiome enzyme knowledge for Bacteroides.,likely_present,0.8,genus_prior_seed,project_starter_prior,,,,,,same_genus,Starter prior seeded from genus-level gut microbiome enzyme knowledge for Bacteroides.,starter_seed,review
NT1,Bacteroides uniformis,Bacteroides uniformis,,,,Bacteroides,,,ENZ002,sulfatase,hydrolase,deconjugation,sulfate ester bond,likely_present,0.8,genus_prior_seed,project_starter_prior,Starter prior seeded from genus-level gut microbiome enzyme knowledge for Bacteroides.,likely_present,0.8,genus_prior_seed,project_starter_prior,,,,,,same_genus,Starter prior seeded from genus-level gut microbiome enzyme knowledge for Bacteroides.,starter_seed,review
NT1,Bacteroides uniformis,Bacteroides uniformis,,,,Bacteroides,,,ENZ003,azoreductase,reductase,reduction,azo N=N bond,,,,,,,,,,,,,,,,,needs_curation,medium
NT1,Bacteroides uniformis,Bacteroides uniformis,,,,Bacteroides,,,ENZ004,nitroreductase,reductase,reduction,nitro group,,,,,,,,,,,,,,,,,needs_curation,medium
NT1,Bacteroides uniformis,Bacteroides uniformis,,,,Bacteroides,,,ENZ005,carboxylesterase,hydrolase,hydrolysis,carboxylic ester bond,genus_prior,0.6,genus_prior_seed,project_starter_prior,Starter prior seeded from genus-level gut microbiome enzyme knowledge for Bacteroides.,genus_prior,0.6,genus_prior_seed,project_starter_prior,,,,,,same_genus,Starter prior seeded from genus-level gut microbiome enzyme knowledge for Bacteroides.,starter_seed,review
NT1,Bacteroides uniformis,Bacteroides uniformis,,,,Bacteroides,,,ENZ006,amidase,hydrolase,hydrolysis,amide bond,genus_prior,0.6,genus_prior_seed,project_starter_prior,Starter prior seeded from genus-level gut microbiome enzyme knowledge for Bacteroides.,genus_prior,0.6,genus_prior_seed,project_starter_prior,,,,,,same_genus,Starter prior seeded from genus-level gut microbiome enzyme knowledge for Bacteroides.,starter_seed,review
NT1,Bacteroides uniformis,Bacteroides uniformis,,,,Bacteroides,,,ENZ007,beta_glucosidase,glycosidase,deconjugation,beta-glucosidic bond,likely_present,0.8,genus_prior_seed,project_starter_prior,Starter prior seeded from genus-level gut microbiome enzyme knowledge for Bacteroides.,likely_present,0.8,genus_prior_seed,project_starter_prior,,,,,,same_genus,Starter prior seeded from genus-level gut microbiome enzyme knowledge for Bacteroides.,starter_seed,review
NT1,Bacteroides uniformis,Bacteroides uniformis,,,,Bacteroides,,,ENZ008,alpha_rhamnosidase,glycosidase,deconjugation,rhamnoside bond,genus_prior,0.6,genus_prior_seed,project_starter_prior,Starter prior seeded from genus-level gut microbiome enzyme knowledge for Bacteroides.,genus_prior,0.6,genus_prior_seed,project_starter_prior,,,,,,same_genus,Starter prior seeded from genus-level gut microbiome enzyme knowledge for Bacteroides.,starter_seed,review
NT1,Bacteroides uniformis,Bacteroides uniformis,,,,Bacteroides,,,ENZ009,beta_galactosidase,glycosidase,deconjugation,beta-galactosidic bond,likely_present,0.8,genus_prior_seed,project_starter_prior,Starter prior seeded from genus-level gut microbiome enzyme knowledge for Bacteroides.,likely_present,0.8,genus_prior_seed,project_starter_prior,,,,,,same_genus,Starter prior seeded from genus-level gut microbiome enzyme knowledge for Bacteroides.,starter_seed,review
NT1,Bacteroides uniformis,Bacteroides uniformis,,,,Bacteroides,,,ENZ010,bile_salt_hydrolase,hydrolase,deconjugation,amide bond in conjugated bile salts,,,,,,,,,,,,,,,,,needs_curation,medium
NT1,Bacteroides uniformis,Bacteroides uniformis,,,,Bacteroides,,,ENZ011,o_demethylase,transferase_complex,demethylation,aryl O-CH3 bond,,,,,,,,,,,,,,,,,needs_curation,medium
NT1,Bacteroides uniformis,Bacteroides uniformis,,,,Bacteroides,,,ENZ012,dehydroxylase,lyase_or_reductive_complex,dehydroxylation,aryl C-OH functionality,,,,,,,,,,,,,,,,,needs_curation,medium
NT1,Bacteroides uniformis,Bacteroides uniformis,,,,Bacteroides,,,ENZ013,deacetylase,hydrolase,deacetylation,acetyl ester or acetamide group,,,,,,,,,,,,,,,,,needs_curation,medium
NT1,Bacteroides uniformis,Bacteroides uniformis,,,,Bacteroides,,,ENZ014,phosphatase,hydrolase,hydrolysis,phosphate ester bond,genus_prior,0.6,genus_prior_seed,project_starter_prior,Starter prior seeded from genus-level gut microbiome enzyme knowledge for Bacteroides.,genus_prior,0.6,genus_prior_seed,project_starter_prior,,,,,,same_genus,Starter prior seeded from genus-level gut microbiome enzyme knowledge for Bacteroides.,starter_seed,review
NT1,Bacteroides uniformis,Bacteroides uniformis,,,,Bacteroides,,,ENZ015,mucin_glycosidase,glycosidase_complex,deconjugation,host glycan glycosidic bonds,,,,,,,,,,,,,,,,,needs_curation,medium
NT1,Bacteroides uniformis,Bacteroides uniformis,,,,Bacteroides,,,ENZ016,polysaccharide_lyase,lyase,ring_cleavage,complex polysaccharide backbone,likely_present,0.8,genus_prior_seed,project_starter_prior,Starter prior seeded from genus-level gut microbiome enzyme knowledge for Bacteroides.,likely_present,0.8,genus_prior_seed,project_starter_prior,,,,,,same_genus,Starter prior seeded from genus-level gut microbiome enzyme knowledge for Bacteroides.,starter_seed,review
