record_id,compound_name_raw,compound_name_normalized,smiles,inchikey,microbe_name_raw,microbe_label_normalized,strain_label,effect_direction,effect_type,effect_score_proxy,effect_score_proxy_type,dose_value,dose_unit,culture_context,supporting_microbe,source_pmid,source_title,evidence_level,notes
PMID39436683_001,Quercetin-3-O-rutinose-7-O-alpha-L-rhamnoside,qrr,,,Akkermansia muciniphila,Akkermansia muciniphila,,promote,metabolism_supported_promote,0.2,qualitative_increase,,,co_culture,Bacteroides uniformis,39436683,Akkermansia muciniphila Growth Promoted by Lychee Major Flavonoid through Bacteroides uniformis Metabolism,high,QRR from lychee pulp; promote depends on Bacteroides uniformis metabolism
PMID25845659_001,dietary polyphenols,dietary_polyphenols,,,Akkermansia muciniphila,Akkermansia muciniphila,,promote,direct_promote,0.12,qualitative_increase,,,animal,,25845659,Dietary Polyphenols Promote Growth of the Gut Bacterium Akkermansia muciniphila and Attenuate High-Fat Diet-Induced Metabolic Syndrome,medium,Animal-level promote evidence from title and abstract
PMID29571008_001,grape proanthocyanidins,grape_proanthocyanidins,,,Akkermansia muciniphila,Akkermansia muciniphila,,promote,direct_promote,0.12,qualitative_increase,,,animal,,29571008,Grape proanthocyanidin-induced intestinal bloom of Akkermansia muciniphila is dependent on its baseline abundance and precedes activation of host genes related to metabolic health,medium,Animal-level bloom of Akkermansia
PMID32598202_001,green tea extract,green_tea_extract,,,Akkermansia muciniphila,Akkermansia muciniphila,,promote,direct_promote,0.12,qualitative_increase,,,animal,,32598202,Green Tea Encourages Growth of Akkermansia muciniphila,medium,Abstract states green tea significantly encouraged Akkermansia growth
PMID32598202_002,epigallocatechin gallate,egcg,C1[C@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C(=C3)O)O)O)OC(=O)C4=CC(=C(C(=C4)O)O)O,WMBWREPUVVBILR-WIYYLYMNSA-N,Akkermansia muciniphila,Akkermansia muciniphila,,promote,direct_promote,0.12,qualitative_increase,,,animal,,32598202,Green Tea Encourages Growth of Akkermansia muciniphila,medium,Abstract states EGCG is the green tea component stimulating Akkermansia growth
PMID34855864_001,epigallocatechin gallate,egcg,C1[C@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C(=C3)O)O)O)OC(=O)C4=CC(=C(C(=C4)O)O)O,WMBWREPUVVBILR-WIYYLYMNSA-N,Akkermansia muciniphila,Akkermansia muciniphila,MucT (= DSM 22959T),promote,metabolism_supported_promote,0.2,od_ratio,350.0,mg/L,mono_culture,,34855864,In vitro co-metabolism of epigallocatechin-3-gallate (EGCG) by the mucin-degrading bacterium Akkermansia muciniphila,high,In vitro co-metabolism with mucin or glucose substantially promoted growth
PMID28400010_001,grape marc,grape_marc,,,Bifidobacterium breve,Bifidobacterium breve,15A,promote,direct_promote,0.12,cfu_change,,,mono_culture,,28400010,Exploitation of grape marc as functional substrate for lactic acid bacteria and bifidobacteria growth and enhanced antioxidant activity,high,Abstract reports Bifidobacterium breve 15A grew on grape marc based media
PMID28400010_002,grape marc,grape_marc,,,Lactobacillus plantarum,Lactobacillus plantarum,12A,promote,direct_promote,0.12,cfu_change,,,mono_culture,,28400010,Exploitation of grape marc as functional substrate for lactic acid bacteria and bifidobacteria growth and enhanced antioxidant activity,high,Abstract reports Lactobacillus plantarum 12A grew on grape marc based media
PMID28400010_003,grape marc,grape_marc,,,Lactobacillus plantarum,Lactobacillus plantarum,PU1,promote,direct_promote,0.12,cfu_change,,,mono_culture,,28400010,Exploitation of grape marc as functional substrate for lactic acid bacteria and bifidobacteria growth and enhanced antioxidant activity,high,Abstract reports Lactobacillus plantarum PU1 grew on grape marc based media
PMID28400010_004,grape marc,grape_marc,,,Lactobacillus paracasei,Lactobacillus paracasei,14A,promote,direct_promote,0.12,cfu_change,,,mono_culture,,28400010,Exploitation of grape marc as functional substrate for lactic acid bacteria and bifidobacteria growth and enhanced antioxidant activity,high,Abstract reports Lactobacillus paracasei 14A grew on grape marc based media
PMID36192946_001,"Limosilactobacillus fermentum 296 + quercetin + resveratrol formulation",l_fermentum_296_quercetin_resveratrol_formulation,,,Bifidobacterium spp.,Bifidobacterium spp.,,promote,direct_promote,0.12,relative_abundance_change,160.0,mg quercetin equivalent,fecal_fermentation,,36192946,Nutraceutical formulations combining Limosilactobacillus fermentum quercetin and or resveratrol with beneficial impacts on the abundance of intestinal bacterial populations metabolite production and antioxidant capacity during colonic fermentation,medium,Abstract reports increased relative abundance of Bifidobacterium spp.
PMID36192946_002,"Limosilactobacillus fermentum 296 + quercetin + resveratrol formulation",l_fermentum_296_quercetin_resveratrol_formulation,,,Lactobacillus spp./Enterococcus spp.,Lactobacillus spp.,,promote,direct_promote,0.12,relative_abundance_change,160.0,mg quercetin equivalent,fecal_fermentation,,36192946,Nutraceutical formulations combining Limosilactobacillus fermentum quercetin and or resveratrol with beneficial impacts on the abundance of intestinal bacterial populations metabolite production and antioxidant capacity during colonic fermentation,medium,Abstract reports increased relative abundance of Lactobacillus spp./Enterococcus spp.
PMID31608042_001,quercetin,quercetin,C1=CC(=C(C=C1C2=C(C(=O)C3=C(O2)C=C(C=C3O)O)O)O)O,REFJWTPEDVJJIY-UHFFFAOYSA-N,Lactobacillus strains,Lactobacillus spp.,L. plantarum and L. fermentum responsive strains,promote,functional_promote,0.05,qualitative_increase,,,mono_culture,,31608042,Effects of Quercetin and Resveratrol on in vitro Properties Related to the Functionality of Potentially Probiotic Lactobacillus Strains,medium,Quercetin improved functional properties and some survival metrics especially in L. fermentum and L. plantarum strains
