nt_code,english_name,chinese_name,phylum_en,phylum_zh,class_en,class_zh,order_en,order_zh,family_en,family_zh,genus_en,genus_zh,gram_stain,medium_preference,aao5774_role,aao5774_basis,mapping_confidence,note
NT5001,Bacteroides vulgatus,普通拟杆菌（vulgatus）,Bacteroidetes,拟杆菌门,Bacteroidia,拟杆菌纲,Bacteroidales,拟杆菌目,Bacteroidaceae,拟杆菌科,Bacteroides,拟杆菌属,negative,mGAM,unclear_or_mixed,not explicitly classifiable from the paper abstract alone,conservative,"Role column is a paper-inspired learning aid, not an exact species list claimed by the paper."
NT5002,Bacteroides uniformis,普通拟杆菌,Bacteroidetes,拟杆菌门,Bacteroidia,拟杆菌纲,Bacteroidales,拟杆菌目,Bacteroidaceae,拟杆菌科,Bacteroides,拟杆菌属,negative,mGAM,unclear_or_mixed,not explicitly classifiable from the paper abstract alone,conservative,"Role column is a paper-inspired learning aid, not an exact species list claimed by the paper."
NT5003,Bacteroides fragilis,脆弱拟杆菌,Bacteroidetes,拟杆菌门,Bacteroidia,拟杆菌纲,Bacteroidales,拟杆菌目,Bacteroidaceae,拟杆菌科,Bacteroides,拟杆菌属,negative,mGAM,unclear_or_mixed,not explicitly classifiable from the paper abstract alone,conservative,"Role column is a paper-inspired learning aid, not an exact species list claimed by the paper."
NT5004,Bacteroides thetaiotaomicron,西塔约塔拟杆菌,Bacteroidetes,拟杆菌门,Bacteroidia,拟杆菌纲,Bacteroidales,拟杆菌目,Bacteroidaceae,拟杆菌科,Bacteroides,拟杆菌属,negative,mGAM,unclear_or_mixed,not explicitly classifiable from the paper abstract alone,conservative,"Role column is a paper-inspired learning aid, not an exact species list claimed by the paper."
NT5005,Blautia hansenii,汉森布劳特菌,Firmicutes,厚壁菌门,Clostridia,梭菌纲,Clostridiales,梭菌目,Lachnospiraceae,拉克诺螺旋菌科,Blautia,布劳特菌属,,,beneficial_like,SCFA-producing / fiber-responsive candidate,paper-inspired inference,"Role column is a paper-inspired learning aid, not an exact species list claimed by the paper."
NT5006,Clostridium ramosum,枝状梭菌,Firmicutes,厚壁菌门,Clostridia,梭菌纲,Clostridiales,梭菌目,Clostridiaceae,梭菌科,Clostridium,梭菌属,positive,mGAM,unclear_or_mixed,not explicitly classifiable from the paper abstract alone,conservative,"Role column is a paper-inspired learning aid, not an exact species list claimed by the paper."
NT5007,Lactobacillus gasseri,加氏乳杆菌,Firmicutes,厚壁菌门,Bacilli,芽孢杆菌纲,Lactobacillales,乳杆菌目,Lactobacillaceae,乳杆菌科,Lactobacillus,乳杆菌属,,,beneficial_like,SCFA-producing / fiber-responsive candidate,paper-inspired inference,"Role column is a paper-inspired learning aid, not an exact species list claimed by the paper."
NT5008,Pseudoflavonifractor capillosus,毛状假黄酮裂解菌,Firmicutes,厚壁菌门,Clostridia,梭菌纲,Clostridiales,梭菌目,Oscillospiraceae,振荡螺菌科,Pseudoflavonifractor,假黄酮裂解菌属,,,unclear_or_mixed,not explicitly classifiable from the paper abstract alone,conservative,"Role column is a paper-inspired learning aid, not an exact species list claimed by the paper."
NT5009,Eubacterium rectale,直肠真杆菌,Firmicutes,厚壁菌门,Clostridia,梭菌纲,Clostridiales,梭菌目,Eubacteriaceae,真杆菌科,Eubacterium,真杆菌属,positive,mGAM,beneficial_like,SCFA-producing / fiber-responsive candidate,paper-inspired inference,"Role column is a paper-inspired learning aid, not an exact species list claimed by the paper."
NT5010,Faecalibacterium prausnitzii,普拉梭粪杆菌,Firmicutes,厚壁菌门,Clostridia,梭菌纲,Clostridiales,梭菌目,Ruminococcaceae,瘤胃球菌科,Faecalibacterium,粪杆菌属,,,beneficial_like,SCFA-producing / fiber-responsive candidate,paper-inspired inference,"Role column is a paper-inspired learning aid, not an exact species list claimed by the paper."
