reference_id,source_sheet,disease_name,microbe_name_raw,microbe_name_cn,microbe_key,genus_hint,taxon_level,abundance_change_raw,abundance_shift,microbe_role_raw,microbe_role_in_disease,disease_effect_on_microbe,desired_step1_effect,relation_confidence,mechanism_note
DMR_0001,microbe_to_disease,痔疮,Cyanobacteria 门,蓝藻门,cyanobacteria门,Cyanobacteria,phylum,↓ 减少,decrease,保护,protective,decrease,promote,high,"MR分析证实：蓝藻门丰度增加与痔疮风险降低相关（OR=0.947, P=2.10×10⁻³）"
DMR_0002,microbe_to_disease,痔疮,Phascolarctobacterium,考拉杆菌属,phascolarctobacterium,Phascolarctobacterium,genus,↓ 减少,decrease,保护,protective,decrease,promote,high,"MR分析证实为保护性菌群（OR=0.960, P=0.034），产丙酸，具有抗炎作用"
DMR_0003,microbe_to_disease,痔疮,FamilyXI,第十一家族（梭菌科）,familyxi,FamilyXI,family,↓ 减少,decrease,保护,protective,decrease,promote,high,"MR分析证实为保护性菌群（OR=0.974, P=0.027）"
DMR_0004,microbe_to_disease,痔疮,Ruminococcaceae_UCG_002,瘤胃球菌科_UCG_002,ruminococcaceaeucg002,Ruminococcaceae_UCG_002,family,↑ 增加,increase,致病,risk,increase,inhibit,high,"MR分析证实为危险因素（OR=1.036, P=0.042）"
DMR_0005,microbe_to_disease,痔疮,Peptostreptococcaceae 科,消化链球菌科,peptostreptococcaceae科,Peptostreptococcaceae,family,↑ 增加,increase,致病,risk,increase,inhibit,high,"MR分析证实为危险因素（OR=1.042, P=0.029）"
DMR_0006,microbe_to_disease,痔疮,Oscillospira,颤螺旋菌属,oscillospira,Oscillospira,genus,↑ 增加,increase,致病,risk,increase,inhibit,high,"MR分析证实为危险因素（OR=1.048, P=0.026）；存在反向因果关联（痔疮亦可影响该菌）"
DMR_0007,microbe_to_disease,痔疮,Alcaligenaceae 科,产碱菌科,alcaligenaceae科,Alcaligenaceae,family,↑ 增加,increase,致病,risk,increase,inhibit,high,"MR分析证实为危险因素（OR=1.048, P=0.036）"
DMR_0008,microbe_to_disease,痔疮,Burkholderiales 目,伯克霍尔德氏菌目,burkholderiales目,Burkholderiales,order,↑ 增加,increase,致病,risk,increase,inhibit,high,"MR分析证实为危险因素（OR=1.074, P=6.50×10⁻³）"
DMR_0009,microbe_to_disease,痔疮,Prevotella,普雷沃氏菌属,prevotella,Prevotella,genus,↑ 增加（血栓性痔疮）,increase,致病,risk,increase,inhibit,high,在血栓性痔疮患者中丰度高于非血栓性痔疮，提示可能参与血栓形成
DMR_0010,microbe_to_disease,痔疮,Staphylococcus,葡萄球菌属,staphylococcus,Staphylococcus,genus,痔疮组织中富集,unknown,致病,risk,unknown,unknown,low,痔疮微生物组受皮肤菌群影响，葡萄球菌是皮肤来源的标志菌
DMR_0011,microbe_to_disease,便秘（Constipation）,Bifidobacterium longum,长双歧杆菌,bifidobacteriumlongum,Bifidobacterium,species,↓ 减少,decrease,保护,protective,decrease,promote,high,含abfA基因簇，促进阿拉伯聚糖利用，产乙酸，改善肠道动力
DMR_0012,microbe_to_disease,便秘（Constipation）,Lactiplantibacillus plantarum,植物乳杆菌,lactiplantibacillusplantarum,Lactiplantibacillus,species,↓ 减少,decrease,保护,protective,decrease,promote,high,调节胆汁酸代谢，促进肠道蠕动；临床有效率67%
DMR_0013,microbe_to_disease,便秘（Constipation）,Lactobacillus bulgaricus,保加利亚乳杆菌,lactobacillusbulgaricus,Lactobacillus,species,↓ 减少,decrease,保护,protective,decrease,promote,high,与长双歧杆菌、嗜热链球菌协同改善STC
DMR_0014,microbe_to_disease,便秘（Constipation）,Streptococcus thermophilus,嗜热链球菌,streptococcusthermophilus,Streptococcus,species,↓ 减少,decrease,保护,protective,decrease,promote,high,三菌联用（Golden Bifid）调节MAPK和5-HT信号通路
DMR_0015,microbe_to_disease,便秘（Constipation）,Roseburia,罗氏菌属,roseburia,Roseburia,genus,↓ 减少,decrease,保护,protective,decrease,promote,high,产丁酸，与丁酸盐、乙酸盐水平正相关
